order_item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM00049,ORD00207,PROD0055,4,3496.79,2
ITEM00050,ORD00585,PROD0329,4,3865.03,33
ITEM00051,ORD00639,PROD0360,5,1309.45,23
ITEM00052,ORD00227,PROD0311,1,880.36,13
ITEM00053,ORD00672,PROD0252,1,2528.33,40
ITEM00054,ORD00063,PROD0185,5,3828.38,26
ITEM00055,ORD00378,PROD0407,1,1157.88,17
ITEM00056,ORD00542,PROD0021,1,3223.61,4
ITEM00057,ORD00222,PROD0492,5,5992.76,46
ITEM00058,ORD00237,PROD0273,4,3953.08,33
ITEM00059,ORD00673,PROD0128,5,4643.43,11
ITEM00060,ORD00572,PROD0384,5,3139.01,6
ITEM00061,ORD00654,PROD0296,3,5625.3,44
ITEM00062,ORD00682,PROD0219,1,2104.74,11
ITEM00063,ORD00564,PROD0206,5,4557.95,10
ITEM00064,ORD00547,PROD0308,4,506.15,20
ITEM00065,ORD00564,PROD0167,3,5784.56,40
ITEM00066,ORD00441,PROD0423,3,1531.9,36
ITEM00067,ORD00559,PROD0110,4,2186.85,47
ITEM00068,ORD00261,PROD0185,4,3525.69,25
ITEM00069,ORD00001,PROD0372,1,4282.55,38
ITEM00070,ORD00017,PROD0266,2,1222.1,19
ITEM00071,ORD00007,PROD0154,2,2303.55,20
ITEM00072,ORD00023,PROD0396,-3,5951.55,32
ITEM00073,ORD00570,PROD0293,5,2696.08,2
ITEM00074,ORD00472,PROD0183,2,5995.28,23
ITEM00075,ORD00597,PROD0128,2,4170.7,19
ITEM00076,ORD00095,PROD0293,4,3050.19,13
ITEM00077,ORD00080,PROD0371,3,6642.68,11
ITEM00078,ORD00500,PROD0423,5,1621.52,6
ITEM00079,ORD00610,PROD0329,3,3209.35,36
ITEM00080,ORD00391,PROD0041,1,5212.23,21
ITEM00081,ORD00357,PROD0451,4,4670.34,7
ITEM00082,ORD00233,PROD0383,5,6054.15,40
ITEM00083,ORD00648,PROD0196,1,2137.47,2
ITEM00084,ORD00327,PROD0277,5,3319.73,32
ITEM00085,ORD00227,PROD0079,1,5117.43,25
ITEM00086,ORD00457,PROD0386,5,974.33,5
ITEM00087,ORD00228,PROD0222,3,5783.03,9
ITEM00088,ORD00136,PROD0173,1,1321.03,47
ITEM00089,ORD00051,PROD0281,4,6107.8,25
ITEM00090,ORD00514,PROD0223,2,189.2,30
ITEM00091,ORD00573,PROD0102,4,6433.02,36
ITEM00092,ORD00201,PROD0288,5,7591.06,33
ITEM00093,ORD00253,PROD0125,1,4522.96,27
ITEM00094,ORD00332,PROD0351,5,4895.17,42
ITEM00095,ORD00424,PROD0217,-3,2735.73,20
ITEM00096,ORD00353,PROD0305,1,4565.6,10
ITEM00097,ORD00359,PROD0316,4,1202.62,28
ITEM00098,ORD00046,PROD0474,2,170.43,23
ITEM00099,ORD00160,PROD0388,1,6093.53,3
ITEM00100,ORD00249,PROD0486,5,5226.4,18
ITEM00101,ORD00015,PROD0176,1,4297.53,30
ITEM00102,ORD00024,PROD0170,2,709.5,13
ITEM00103,ORD00209,PROD0280,5,1274.79,35
ITEM00104,ORD00495,PROD0319,2,5280.74,42
ITEM00105,ORD00019,PROD0193,5,5697.02,33
ITEM00106,ORD00045,PROD0131,2,5449.02,12
ITEM00107,ORD00633,PROD0139,1,6715.3,0
ITEM00108,ORD00069,PROD0199,3,1440.71,42
ITEM00109,ORD00369,PROD0443,1,4279.77,41
ITEM00110,ORD00396,PROD0119,4,248.87,45
ITEM00111,ORD00102,PROD0463,3,3204.96,38
ITEM00112,ORD00545,PROD0046,2,2076.3,29
ITEM00113,ORD00575,PROD0475,1,2384.94,33
ITEM00114,ORD00313,PROD0171,4,1425.4,10
ITEM00115,ORD00019,PROD0178,3,4286.55,19
ITEM00116,ORD00242,PROD0257,3,654.79,40
ITEM00117,ORD00264,PROD0450,4,1394.34,1
ITEM00118,ORD00569,PROD0486,3,4293.19,21
ITEM00119,ORD00403,PROD0337,2,3594.24,24
ITEM00120,ORD00534,PROD0492,5,7493.48,43
ITEM00121,ORD00233,PROD0214,2,5486.93,27
ITEM00122,ORD00320,PROD0466,5,2833.45,34
ITEM00123,ORD00135,PROD0106,2,5994.79,43
ITEM00124,ORD00208,PROD0442,2,2592.12,45
ITEM00125,ORD00537,PROD0466,2,2919.22,49
ITEM00126,ORD00149,PROD0336,5,2834.64,20
ITEM00127,ORD00070,PROD0286,5,5735.11,7
ITEM00128,ORD00189,PROD0163,2,3285.03,48
ITEM00129,ORD00327,PROD0451,4,5414.91,19
ITEM00130,ORD00454,PROD0382,3,322.13,12
ITEM00131,ORD00110,PROD0068,2,4631.06,39
ITEM00132,ORD00632,PROD0137,5,4242.9,14
ITEM00133,ORD00611,PROD0119,2,261.55,22
ITEM00134,ORD00082,PROD0353,4,3828.15,38
ITEM00135,ORD00481,PROD0365,3,3031.71,24
ITEM00136,ORD00504,PROD0243,2,4797.73,14
ITEM00137,ORD00034,PROD0210,1,6143.79,26
ITEM00138,ORD00228,PROD0381,2,5308.82,4
ITEM00139,ORD00182,PROD0475,4,3034.09,31
ITEM00140,ORD00333,PROD0444,4,5069.49,27
ITEM00141,ORD00415,PROD0398,1,4227.96,24
ITEM00142,ORD00321,PROD0202,5,6605.29,36
ITEM00143,ORD00609,PROD0275,5,5635.29,45
ITEM00144,ORD00040,PROD0267,1,6217.77,2
ITEM00145,ORD00252,PROD0266,5,1039.15,47
ITEM00146,ORD00041,PROD0286,4,5106.96,40
ITEM00147,ORD00051,PROD0098,3,5681.92,19
ITEM00148,ORD00293,PROD0237,2,5593.93,39
ITEM00149,ORD00056,PROD0354,5,7723.95,29
ITEM00150,ORD00662,PROD0232,1,2997.8,7
ITEM00151,ORD00185,PROD0399,5,6920.63,44
ITEM00152,ORD00560,PROD0070,4,5463.2,28
ITEM00153,ORD00026,PROD0092,4,6575.79,45
ITEM00154,ORD00207,PROD0452,4,4911.46,20
ITEM00155,ORD00665,PROD0465,2,5865.74,7
ITEM00156,ORD00094,PROD0059,4,2895.32,5
ITEM00157,ORD00537,PROD0363,4,4403.76,32
ITEM00158,ORD00627,PROD0487,2,3108.97,24
ITEM00159,ORD00045,PROD0394,2,5309.58,36
ITEM00160,ORD00676,PROD0442,2,2477.07,9
ITEM00161,ORD00184,PROD0394,1,4640.95,19
ITEM00162,ORD00457,PROD0148,2,1439.25,8
ITEM00163,ORD00208,PROD0002,5,5633.21,0
ITEM00164,ORD00470,PROD0255,-4,2665.02,0
ITEM00165,ORD00623,PROD0452,4,5146.21,37
ITEM00166,ORD00676,PROD0244,4,5898.85,5
ITEM00167,ORD00616,PROD0308,1,417.52,35
ITEM00168,ORD00285,PROD0318,5,6461.74,13
ITEM00169,ORD00051,PROD0095,-2,5914.14,22
ITEM00170,ORD00038,PROD0075,1,4731.5,38
ITEM00171,ORD00306,PROD0170,1,578.41,26
ITEM00172,ORD00183,PROD0083,3,2087.14,44
ITEM00173,ORD00610,PROD0294,5,3905.23,29
ITEM00174,ORD00593,PROD0185,1,3163.28,19
ITEM00175,ORD00331,PROD0189,4,4718.87,48
ITEM00176,ORD00438,PROD0432,5,3160.66,30
ITEM00177,ORD00138,PROD0063,3,5232.81,26
ITEM00178,ORD00538,PROD0108,2,6874.06,6
ITEM00179,ORD00586,PROD0374,5,1445.32,30
ITEM00180,ORD00620,PROD0479,3,5073.25,20
ITEM00181,ORD00266,PROD0270,5,6374.64,22
ITEM00182,ORD00133,PROD0315,5,5030.06,46
ITEM00183,ORD00648,PROD0255,4,2863.94,39
ITEM00184,ORD00239,PROD0363,3,4701.99,0
ITEM00185,ORD00122,PROD0013,4,5908.92,7
ITEM00186,ORD00213,PROD0410,5,3116.2,26
ITEM00187,ORD00047,PROD0171,3,1495.56,40
ITEM00188,ORD00218,PROD0006,2,2131.55,16
ITEM00189,ORD00070,PROD0158,3,2129.67,20
ITEM00190,ORD00007,PROD0059,3,2662.12,46
ITEM00191,ORD00583,PROD0316,1,1271.95,12
ITEM00192,ORD00339,PROD0427,3,5790.19,30
ITEM00193,ORD00486,PROD0409,1,806.52,30
ITEM00194,ORD00160,PROD0322,4,2181.27,34
ITEM00195,ORD00344,PROD0237,4,6419.88,3
ITEM00196,ORD00534,PROD0154,5,2669.09,20
ITEM00197,ORD00569,PROD0275,1,4964.99,43
ITEM00198,ORD00340,PROD0410,3,2389.34,9
ITEM00199,ORD00288,PROD0431,1,578.39,24
ITEM00200,ORD00642,PROD0274,2,2929.6,24
ITEM00201,ORD00192,PROD0305,1,4680.55,48
ITEM00202,ORD00316,PROD0362,3,1860.93,17
ITEM00203,ORD00424,PROD0045,4,1077.8,23
ITEM00204,ORD00463,PROD0425,3,6075.91,19
ITEM00205,ORD00180,PROD0058,3,2511.78,49
ITEM00206,ORD00207,PROD0468,1,4763.5,1
ITEM00207,ORD00495,PROD0464,5,680.18,21
ITEM00208,ORD00496,PROD0376,5,5379.45,20
ITEM00209,ORD00147,PROD0394,-1,5187.28,33
ITEM00210,ORD00693,PROD0068,2,5699.8,29
ITEM00211,ORD00397,PROD0366,5,5762.08,19
ITEM00212,ORD00046,PROD0352,5,6808.37,21
ITEM00213,ORD00479,PROD0456,1,2288.19,49
ITEM00214,ORD00675,PROD0382,3,308.9,48
ITEM00215,ORD00320,PROD0328,2,6124.43,12
ITEM00216,ORD00294,PROD0142,5,2523.95,28
ITEM00217,ORD00688,PROD0061,3,741.46,17
ITEM00218,ORD00118,PROD0008,5,858.13,6
ITEM00219,ORD00212,PROD0278,3,5483.24,17
ITEM00220,ORD00145,PROD0483,3,6748.7,10
ITEM00221,ORD00073,PROD0160,5,4218.65,34
ITEM00222,ORD00455,PROD0026,2,545.11,43
ITEM00223,ORD00052,PROD0055,4,3345.79,27
ITEM00224,ORD00402,PROD0092,-5,7127.01,40
ITEM00225,ORD00457,PROD0316,3,1099.48,12
ITEM00226,ORD00687,PROD0415,5,2516.4,48
ITEM00227,ORD00477,PROD0291,2,3051.38,44
ITEM00228,ORD00480,PROD0050,4,6492.61,41
ITEM00229,ORD00477,PROD0241,2,7011.25,9
ITEM00230,ORD00632,PROD0133,3,2213.49,44
ITEM00231,ORD00682,PROD0170,3,655.1,1
ITEM00232,ORD00067,PROD0244,1,5797.3,29
ITEM00233,ORD00175,PROD0145,3,6654.56,8
ITEM00234,ORD00521,PROD0053,4,7143.13,50
ITEM00235,ORD00110,PROD0167,5,6186.51,50
ITEM00236,ORD00310,PROD0273,4,4215.04,26
ITEM00237,ORD00245,PROD0318,2,6001.36,30
ITEM00238,ORD00394,PROD0034,3,4225.12,44
ITEM00239,ORD00606,PROD0221,4,6556.88,21
ITEM00240,ORD00558,PROD0356,2,4673.93,42
ITEM00241,ORD00080,PROD0379,5,3131.02,7
ITEM00242,ORD00607,PROD0306,4,186.31,6
ITEM00243,ORD00456,PROD0091,3,4274.22,4
ITEM00244,ORD00613,PROD0056,5,3516.69,24
ITEM00245,ORD00336,PROD0254,1,6060.08,8
ITEM00246,ORD00595,PROD0463,-1,3455.5,42
ITEM00247,ORD00153,PROD0232,5,2650.61,39
ITEM00248,ORD00592,PROD0229,2,1958.31,20
ITEM00249,ORD00307,PROD0292,3,717.2,27
ITEM00250,ORD00353,PROD0046,5,1952.49,32
ITEM00251,ORD00414,PROD0434,2,4319.51,3
ITEM00252,ORD00379,PROD0462,5,953.77,0
ITEM00253,ORD00574,PROD0421,3,4642.33,18
ITEM00254,ORD00032,PROD0121,4,3603.91,25
ITEM00255,ORD00641,PROD0163,4,3002.06,27
ITEM00256,ORD00559,PROD0109,2,3847.21,12
ITEM00257,ORD00569,PROD0197,3,6273.9,9
ITEM00258,ORD00296,PROD0447,2,5802.65,4
ITEM00259,ORD00664,PROD0009,2,3572.56,31
ITEM00260,ORD00674,PROD0224,2,1427.22,41
ITEM00261,ORD00426,PROD0441,4,5144.68,44
ITEM00262,ORD00619,PROD0477,4,4428.68,29
ITEM00263,ORD00522,PROD0218,5,7599.15,24
ITEM00264,ORD00364,PROD0116,2,6765.81,0
ITEM00265,ORD00592,PROD0256,2,6323.21,17
ITEM00266,ORD00421,PROD0475,5,2805.95,2
ITEM00267,ORD00039,PROD0291,4,3655.13,7
ITEM00268,ORD00595,PROD0247,1,3181.55,46
ITEM00269,ORD00540,PROD0440,3,1790.29,5
ITEM00270,ORD00536,PROD0456,5,2277.38,30
ITEM00271,ORD00646,PROD0380,1,4323.23,34
ITEM00272,ORD00594,PROD0160,5,3308.78,21
ITEM00273,ORD00548,PROD0399,1,6096.43,32
ITEM00274,ORD00481,PROD0294,3,4204.62,18
ITEM00275,ORD00297,PROD0086,1,5056.38,38
ITEM00276,ORD00312,PROD0373,5,525.07,40
ITEM00277,ORD00485,PROD0297,2,3409.54,42
ITEM00278,ORD00299,PROD0415,5,2474.51,31
ITEM00279,ORD00085,PROD0065,5,5877.15,50
ITEM00280,ORD00285,PROD0130,2,6188.34,17
ITEM00281,ORD00264,PROD0008,1,868.78,37
ITEM00282,ORD00155,PROD0338,4,6439.73,11
ITEM00283,ORD00268,PROD0401,2,3936.1,33
ITEM00284,ORD00034,PROD0176,1,5158.6,38
ITEM00285,ORD00158,PROD0429,4,4003.94,26
ITEM00286,ORD00393,PROD0122,4,3450.02,10
ITEM00287,ORD00216,PROD0296,3,4675.88,16
ITEM00288,ORD00119,PROD0027,-2,5223.58,30
ITEM00289,ORD00309,PROD0244,5,5593.56,43
ITEM00290,ORD00400,PROD0243,3,4769.47,27
ITEM00291,ORD00013,PROD0148,4,1561.34,20
ITEM00292,ORD00543,PROD0350,1,5479.86,34
ITEM00293,ORD00653,PROD0182,4,3732.71,41
ITEM00294,ORD00280,PROD0172,3,1643.63,6
ITEM00295,ORD00262,PROD0336,5,2454.03,49
ITEM00296,ORD00692,PROD0384,2,3432.33,37
ITEM00297,ORD00200,PROD0267,3,6625.09,11
ITEM00298,ORD00321,PROD0281,1,6875.81,4
ITEM00299,ORD00013,PROD0211,1,5677.33,43
ITEM00300,ORD00457,PROD0180,2,3448.66,16
ITEM00301,ORD00198,PROD0018,1,4469.51,3
ITEM00302,ORD00609,PROD0337,2,4598.43,40
ITEM00303,ORD00125,PROD0363,1,3646.95,38
ITEM00304,ORD00134,PROD0193,5,5547.03,11
ITEM00305,ORD00114,PROD0357,2,219.94,29
ITEM00306,ORD00677,PROD0480,1,2469.77,17
ITEM00307,ORD00438,PROD0355,3,1872.19,49
ITEM00308,ORD00076,PROD0142,1,2572.35,21
ITEM00309,ORD00062,PROD0133,3,2073.75,4
ITEM00310,ORD00504,PROD0476,2,3191.54,11
ITEM00311,ORD00661,PROD0252,1,2291.98,49
ITEM00312,ORD00442,PROD0112,5,1885.05,28
ITEM00313,ORD00266,PROD0053,1,5749.83,36
ITEM00314,ORD00257,PROD0398,4,3537.55,31
ITEM00315,ORD00153,PROD0335,1,5478.02,42
ITEM00316,ORD00400,PROD0137,2,4401.11,25
ITEM00317,ORD00589,PROD0002,5,5546.76,49
ITEM00318,ORD00503,PROD0245,4,1958.97,46
ITEM00319,ORD00072,PROD0277,2,3165.56,44
ITEM00320,ORD00494,PROD0063,5,5556.75,22
ITEM00321,ORD00342,PROD0350,3,6016.37,40
ITEM00322,ORD00663,PROD0047,3,787.13,21
ITEM00323,ORD00083,PROD0431,4,651.37,18
ITEM00324,ORD00664,PROD0104,2,2726.94,24
ITEM00325,ORD00677,PROD0098,3,6105.36,6
ITEM00326,ORD00646,PROD0353,3,4258.61,40
ITEM00327,ORD00449,PROD0377,2,2936.86,12
ITEM00328,ORD00026,PROD0369,5,3017.49,24
ITEM00329,ORD00065,PROD0406,5,4161.78,31
ITEM00330,ORD00547,PROD0495,4,4734.65,1
ITEM00331,ORD00038,PROD0174,1,1292.39,46
ITEM00332,ORD00044,PROD0208,1,2076.53,41
ITEM00333,ORD00684,PROD0268,4,5315.04,34
ITEM00334,ORD00153,PROD0380,5,3793.88,4
ITEM00335,ORD00038,PROD0377,2,3263.25,1
ITEM00336,ORD00483,PROD0465,5,4804.75,44
ITEM00337,ORD00665,PROD0067,1,6328.5,3
ITEM00338,ORD00315,PROD0421,1,5159.59,10
ITEM00339,ORD00606,PROD0033,1,3641.86,38
ITEM00340,ORD00631,PROD0113,1,663.79,27
ITEM00341,ORD00346,PROD0416,4,5185.83,43
ITEM00342,ORD00590,PROD0280,2,1129.05,50
ITEM00343,ORD00219,PROD0392,1,4474.28,21
ITEM00344,ORD00065,PROD0062,3,2649.82,26
ITEM00345,ORD00173,PROD0357,3,240.22,28
ITEM00346,ORD00250,PROD0474,5,161.96,6
ITEM00347,ORD00648,PROD0314,4,3853.79,1
ITEM00348,ORD00499,PROD0042,1,1225.92,5
ITEM00349,ORD00668,PROD0304,3,2499.57,50
ITEM00350,ORD00488,PROD0355,2,1842.77,40
ITEM00351,ORD00278,PROD0268,4,4602.71,11
ITEM00352,ORD00626,PROD0355,1,2066.99,45
ITEM00353,ORD00512,PROD0314,1,3700.29,50
ITEM00354,ORD00309,PROD0179,4,2192.76,15
ITEM00355,ORD00197,PROD0061,5,936.28,39
ITEM00356,ORD00371,PROD0442,5,2747.65,29
ITEM00357,ORD00642,PROD0338,2,6261.36,12
ITEM00358,ORD00116,PROD0408,2,2532.93,30
ITEM00359,ORD00510,PROD0091,2,3965.49,2
ITEM00360,ORD00056,PROD0331,3,6004.32,27
ITEM00361,ORD00258,PROD0172,5,1914.33,48
ITEM00362,ORD00465,PROD0023,1,671.45,34
ITEM00363,ORD00181,PROD0081,1,2744.4,7
ITEM00364,ORD00073,PROD0459,2,1273.73,37
ITEM00365,ORD00594,PROD0167,4,5422.48,43
ITEM00366,ORD00334,PROD0118,1,2468.51,6
ITEM00367,ORD00243,PROD0378,4,5257.72,24
ITEM00368,ORD00226,PROD0038,4,2168.65,3
ITEM00369,ORD00447,PROD0075,2,5068.12,29
ITEM00370,ORD00183,PROD0199,3,1233.6,46
ITEM00371,ORD00199,PROD0324,3,1310.5,12
ITEM00372,ORD00344,PROD0066,1,4616.08,3
ITEM00373,ORD00288,PROD0070,1,6164.34,29
ITEM00374,ORD00429,PROD0088,-3,339.36,18
ITEM00375,ORD00619,PROD0081,5,3075.55,36
ITEM00376,ORD00567,PROD0438,2,3308.24,33
ITEM00377,ORD00501,PROD0442,2,2813.49,29
ITEM00378,ORD00286,PROD0008,4,900.69,15
ITEM00379,ORD00254,PROD0168,4,2952.63,37
ITEM00380,ORD00153,PROD0468,5,5392.14,26
ITEM00381,ORD00046,PROD0021,4,3138.72,32
ITEM00382,ORD00035,PROD0218,5,6752.21,44
ITEM00383,ORD00101,PROD0232,4,2609.55,35
ITEM00384,ORD00013,PROD0355,4,2270.26,8
ITEM00385,ORD00368,PROD0152,2,2091.27,5
ITEM00386,ORD00017,PROD0246,3,4732.85,29
ITEM00387,ORD00585,PROD0383,5,4660.69,29
ITEM00388,ORD00475,PROD0396,2,5883.34,25
ITEM00389,ORD00190,PROD0405,3,2282.87,45
ITEM00390,ORD00649,PROD0001,1,935.86,44
ITEM00391,ORD00341,PROD0272,1,2463.73,48
ITEM00392,ORD00277,PROD0358,-5,1360.2,50
ITEM00393,ORD00213,PROD0404,-1,5498.23,21
ITEM00394,ORD00057,PROD0264,3,5520.6,7
ITEM00395,ORD00393,PROD0188,4,5164.29,23
ITEM00396,ORD00376,PROD0090,5,1423.62,35
ITEM00397,ORD00210,PROD0071,3,2863.43,7
ITEM00398,ORD00665,PROD0245,5,2227.85,44
ITEM00399,ORD00215,PROD0386,2,904.89,17
ITEM00400,ORD00516,PROD0349,4,1622.69,4
ITEM00401,ORD00382,PROD0177,4,1170.94,33
ITEM00402,ORD00126,PROD0241,5,6533.22,34
ITEM00403,ORD00300,PROD0232,5,2712.33,43
ITEM00404,ORD00068,PROD0097,4,4194.86,25
ITEM00405,ORD00184,PROD0148,1,1435.47,17
ITEM00406,ORD00115,PROD0357,2,236.37,13
ITEM00407,ORD00534,PROD0488,1,3580.86,43
ITEM00408,ORD00555,PROD0478,2,1348.46,26
ITEM00409,ORD00455,PROD0378,1,4471.93,4
ITEM00410,ORD00023,PROD0447,2,7099.84,33
ITEM00411,ORD00661,PROD0172,4,1800.4,41
ITEM00412,ORD00662,PROD0403,3,2929.02,42
ITEM00413,ORD00543,PROD0432,5,3552.87,19
ITEM00414,ORD00581,PROD0068,3,4853.79,16
ITEM00415,ORD00233,PROD0248,3,2234.61,49
ITEM00416,ORD00049,PROD0076,3,191.87,10
ITEM00417,ORD00634,PROD0474,2,197.71,18
ITEM00418,ORD00187,PROD0499,2,2774.56,44
ITEM00419,ORD00683,PROD0407,2,957.29,7
ITEM00420,ORD00043,PROD0163,5,2755.66,16
ITEM00421,ORD00379,PROD0095,2,6896.43,2
ITEM00422,ORD00682,PROD0163,3,2774.59,28
ITEM00423,ORD00553,PROD0500,2,2350.1,7
ITEM00424,ORD00026,PROD0208,4,2436.56,29
ITEM00425,ORD00328,PROD0080,1,7935.42,34
ITEM00426,ORD00520,PROD0170,3,659.01,18
ITEM00427,ORD00588,PROD0342,2,1174.28,46
ITEM00428,ORD00453,PROD0174,1,1444.92,2
ITEM00429,ORD00143,PROD0348,5,1868.31,1
ITEM00430,ORD00412,PROD0317,2,2289.23,5
ITEM00431,ORD00335,PROD0029,5,6873.5,37
ITEM00432,ORD00540,PROD0114,3,5220.47,5
ITEM00433,ORD00552,PROD0435,4,5351.95,5
ITEM00434,ORD00525,PROD0202,2,5852.94,38
ITEM00435,ORD00620,PROD0262,1,354.86,23
ITEM00436,ORD00408,PROD0076,4,196.85,23
ITEM00437,ORD00013,PROD0146,3,5847.89,28
ITEM00438,ORD00575,PROD0045,2,1036.33,28
ITEM00439,ORD00426,PROD0412,4,5735.93,46
ITEM00440,ORD00435,PROD0374,-4,1138.07,37
ITEM00441,ORD00613,PROD0045,-2,891.75,30
ITEM00442,ORD00538,PROD0172,1,1978.72,37
ITEM00443,ORD00385,PROD0046,-1,2212.99,17
ITEM00444,ORD00425,PROD0090,5,1330.34,36
ITEM00445,ORD00141,PROD0103,2,883.33,18
ITEM00446,ORD00568,PROD0252,1,2786.94,19
ITEM00447,ORD00600,PROD0156,4,2899.8,29
ITEM00448,ORD00230,PROD0014,1,858.41,19
ITEM00449,ORD00656,PROD0428,4,4535.73,42
ITEM00450,ORD00295,PROD0214,2,5362.52,44
ITEM00451,ORD00661,PROD0126,1,574.09,17
ITEM00452,ORD00505,PROD0497,1,962.69,23
ITEM00453,ORD00596,PROD0247,5,3479.23,16
ITEM00454,ORD00644,PROD0352,4,6988.4,7
ITEM00455,ORD00383,PROD0263,5,2409.5,16
ITEM00456,ORD00167,PROD0298,1,994.56,29
ITEM00457,ORD00139,PROD0183,-2,5831.91,23
ITEM00458,ORD00430,PROD0326,3,2757.37,18
ITEM00459,ORD00543,PROD0328,1,6480.34,49
ITEM00460,ORD00644,PROD0094,1,1136.79,10
ITEM00461,ORD00557,PROD0166,3,6393.75,43
ITEM00462,ORD00309,PROD0139,3,5999.91,37
ITEM00463,ORD00361,PROD0422,2,5640.53,33
ITEM00464,ORD00289,PROD0191,4,5414.44,10
ITEM00465,ORD00105,PROD0112,2,1812.64,12
ITEM00466,ORD00573,PROD0315,5,5533.11,45
ITEM00467,ORD00565,PROD0360,1,1374.36,4
ITEM00468,ORD00120,PROD0420,2,3007.61,30
ITEM00469,ORD00357,PROD0160,3,3402.25,28
ITEM00470,ORD00612,PROD0268,3,4279.19,19
ITEM00471,ORD00030,PROD0382,1,329.32,44
ITEM00472,ORD00146,PROD0353,2,4039.88,13
ITEM00473,ORD00134,PROD0041,4,4905.16,50
ITEM00474,ORD00115,PROD0040,1,1008.63,48
ITEM00475,ORD00442,PROD0022,2,1534.3,50
ITEM00476,ORD00676,PROD0263,5,2442.81,7
ITEM00477,ORD00260,PROD0023,1,592.69,0
ITEM00478,ORD00099,PROD0401,1,4427.63,13
ITEM00479,ORD00602,PROD0462,2,765.53,22
ITEM00480,ORD00030,PROD0047,2,856.44,17
ITEM00481,ORD00594,PROD0179,3,2306.6,32
ITEM00482,ORD00628,PROD0124,5,568.44,6
ITEM00483,ORD00593,PROD0391,1,6624.77,45
ITEM00484,ORD00197,PROD0494,3,2898.13,48
ITEM00485,ORD00551,PROD0003,1,5837.94,32
ITEM00486,ORD00487,PROD0188,5,4544.98,43
ITEM00487,ORD00110,PROD0093,3,6951.27,27
ITEM00488,ORD00220,PROD0264,2,4838.47,48
ITEM00489,ORD00322,PROD0064,4,4085.96,8
ITEM00490,ORD00508,PROD0391,-3,6954.98,35
ITEM00491,ORD00042,PROD0043,3,4422.34,24
ITEM00492,ORD00291,PROD0234,5,2764.41,43
ITEM00493,ORD00455,PROD0116,5,6731.26,27
ITEM00494,ORD00194,PROD0439,1,758.99,30
ITEM00495,ORD00696,PROD0189,2,3721.45,43
ITEM00496,ORD00504,PROD0345,1,3280.59,33
ITEM00497,ORD00675,PROD0347,1,3043.73,25
ITEM00498,ORD00411,PROD0356,5,5858.93,47
ITEM00499,ORD00173,PROD0034,3,5235.19,21
